Point Cloud Visibility
43
Visibility for camera video5771447340057498062_frame00000.jpg
266 491.37 713.135
267 557.918 67.1706
270 438.605 1004
271 443.938 1015.87
272 498.871 787.781
274 609.244 584.332
275 613.325 507.708
276 541.205 770.389
277 617.513 94.9803
278 623.454 577.461
279 493.684 1021.18
297 32.7076 128.432
304 66.4415 376.24
309 82.3563 157.246
310 86.192 87.4669
312 87.8334 364.762
314 91.9939 204.388
319 105.542 238.935
323 118.306 63.4678
324 115.403 382.871
325 115.72 530.869
326 28.1835 998.809
328 126.268 383.859
332 140.743 252.55
334 48.733 1056.36
335 53.9195 817.728
338 62.3689 985.905
340 69.559 650.093
341 71.2868 661.309
342 71.2868 661.309
343 40.2606 1147.92
345 81.9413 993.933
352 133.334 965.883
356 171.889 794.61
359 244.271 393.89
360 150.027 1042.07
364 117.663 1259.29
366 126.521 1255.91
368 205.233 1049.63
373 215.352 1135.63
377 282.385 1049.79
379 255.816 1212.99
382 315.686 1025.74
383 265.44 1205.77
384 265.44 1205.77
386 352.315 842.992
388 344.05 889.233
390 313.094 1141.21
393 329.03 1219.77
395 347.228 1179.67
396 345.996 1191.26
397 479.57 115.24
398 410.293 962.469
399 486.327 610.485
405 383.788 1240.18
409 423.837 1217.16
410 475.896 1115.25
411 451.362 1201.72
414 461.289 1210.99
415 516.187 1033.75
416 555.277 792.937
418 611.736 515.367
419 612.92 501.168
421 480.814 1201.08
423 574.569 784.424
424 625.717 362.783
425 625.717 362.783
427 628.646 81.5448
428 505.252 1205.91
430 16.9484 554.997
431 22.7225 916.886
432 23.8034 283.044
433 25.9311 579.944
434 27.282 855.965
435 27.282 855.965
436 28.0111 1016.76
437 39.1024 355.024
438 39.225 813.947
439 39.225 813.947
440 39.8 934.133
441 39.8 934.133
442 41.796 366.504
443 48.1776 250.365
444 49.0261 1064.12
445 49.215 260.155
446 51.0956 271.145
447 53.8934 351.031
448 54.0437 437.441
449 54.0437 437.441
450 55.3197 1258.77
451 71.6025 362.818
452 96.7616 419.647
453 100.506 59.7033
454 112.789 344.014
455 117.468 365.4
456 117.905 896.732
457 117.954 374.066
458 119.196 861.617
459 120.063 980.826
460 132.144 1050.12
461 135.087 313.535
462 144.117 399.154
463 147.45 1067.65
464 149.621 734.512
465 153.088 771.046
466 154.829 801.019
467 168.118 706.73
468 168.18 520.545
469 183.672 333.22
470 192.875 966.332
471 195.134 1043.72
472 195.904 897.425
473 204.275 859.256
474 213.118 1091.03
475 215.074 899.575
476 224.398 738.839
477 228.488 1031.95
478 228.811 1208.86
479 229.412 682.385
480 244.271 393.89
481 248.945 1230.25
482 251.723 795.721
483 251.799 646.555
484 251.813 648.588
485 255.544 1090.27
486 257.331 895.487
487 289.161 1138.99
488 299.082 1067.98
489 305.693 1045.23
490 324.156 244.3
491 324.294 743.928
492 324.695 937.279
493 335.553 640.762
494 340.288 960.763
495 365.14 1102.92
496 377.18 1004.87
497 403.317 1217.57
498 417.162 256.177
499 425.474 415.356
500 432.45 1010.6
501 438.605 1004
502 449.399 789.414
503 451.356 878.927
504 453.794 940.35
505 457.159 1016.59
506 463.922 721.126
507 485.6 1208.39
508 486.142 351.651
509 489.682 494.204
510 494.781 368.705
511 496.053 878.905
512 500.534 1265.91
513 508.181 874.209
514 511.582 822.829
515 511.582 822.829
516 519.33 1007.7
517 529.505 1172.29
518 532.286 1198.82
519 542.662 1021.95
520 569.075 609.725
521 582.355 785.806
522 584.146 862.934
523 589.629 934.886
524 591.074 728.471
525 597.927 705.086
526 603.744 1178.98
527 611.931 1188.95
528 612.92 501.168
529 623.688 911.871
530 627.076 926.656
531 629.735 1177.52
532 641.704 928.143
533 648.693 835.83
534 659.315 884.049
535 659.315 884.049
536 662.46 891.179
537 663.857 706.07
538 667.509 81.0936
539 672.455 450.412
540 672.869 737.367
541 678.684 557.496
542 680.723 1212.83
543 687.296 1202.06
544 691.529 933.765
545 697.379 428.194
546 700.075 949.22
547 700.974 291.03
548 704.443 120.739
549 706.579 303.353
Visibility for camera video5771447340057498062_frame00003.jpg
250
52 11.2278 119.311
54 18.466 71.7229
55 19.1548 196.101
58 21.8629 166.101
60 25.5528 139.767
65 29.8267 54.7448
71 33.0991 150.341
72 39.7233 43.7956
74 38.8079 159.297
75 38.8079 159.297
81 46.6671 199.952
93 61.3349 225.546
96 77.4422 158.588
97 77.4422 158.588
98 80.3342 247.453
99 85.2233 155.159
105 96.6684 44.0554
108 97.573 79.5678
109 99.7031 182.963
112 91.414 517.609
113 108.569 371.653
119 117.723 362.929
121 123.292 250.566
122 126.01 251.367
123 127.311 332.172
126 131.235 240.071
128 130.302 361.981
141 147.303 262.874
152 158.979 184.794
162 211.015 118.567
167 224.158 84.773
169 222.97 149.121
173 55.9036 872.934
186 134.086 784.029
187 171.605 673.772
189 171.318 683.236
190 204.694 603.716
193 128.964 826.505
194 87.7968 957.601
204 121.608 954.672
205 93.8083 1018.23
206 157.138 888.615
209 144.062 937.351
218 141.264 1029.92
219 298.098 645.379
223 268.079 771.788
224 268.079 771.788
225 335.068 619.288
228 214.046 934.02
234 200.345 1009.85
240 482.099 349.168
244 491.699 349.355
245 352.299 747.864
247 498.559 350.655
248 255.71 996.565
252 502.428 87.7202
256 314.46 926.558
258 286.794 1017.1
263 550.56 129.304
267 547.806 47.7553
268 333.861 1014.54
269 341.249 985.343
271 345.764 997.889
272 441.927 774.151
275 619.367 495.63
276 488.081 757.601
277 607.317 75.8751
279 399.088 1004.63
297 27.2428 119.454
298 29.3757 330.874
305 65.7149 167.378
309 76.6896 146.632
310 80.1289 79.423
312 81.0089 353.586
314 85.7273 194.166
315 87.7489 331.448
316 90.5986 172.103
322 108.908 178.581
323 111.09 55.677
324 108.569 371.653
325 106.685 517.862
328 118.821 372.39
330 130.875 57.699
336 138.817 309.802
351 51.9246 664.85
353 17.018 1007.59
358 86.4006 870.623
360 47.3159 1015.12
372 333.174 319.445
376 223.016 876.099
377 180.315 1026.37
386 283.089 826.191
390 177.877 1115.56
393 166.708 1189.93
395 199.725 1152.38
398 324.025 944.238
399 486.59 598.942
404 221.151 1184.15
405 213.862 1211.33
409 262.186 1190.19
410 349.704 1094.92
413 417.65 1015.54
414 301.12 1186.36
418 617.623 503.413
419 619.364 488.21
421 323.384 1176.94
424 633.327 349.395
427 618.944 61.1523
430 11.0434 539.959
432 18.1528 273.846
442 35.2264 356.163
448 46.7939 425.469
449 46.7939 425.469
451 65.634 350.803
452 90.8685 408.699
453 94.7133 50.1398
454 104.966 332.864
455 110.714 353.998
456 37.4593 876.067
457 110.972 362.994
459 27.85 954.515
461 128.298 303.846
462 137.089 389.22
463 43.2153 1039.39
464 79.2833 714.365
465 85.9349 752.199
468 160.822 508.357
469 178.554 321.374
473 130.398 839.168
476 167.845 722.417
481 84.4338 1197.68
489 204.967 1022.58
490 324.374 230.946
493 298.136 626.99
496 279.141 984.107
497 241.603 1191.16
498 427.614 243.633
499 425.827 402.462
500 334.763 991.115
503 378.511 862.874
504 369.875 924.041
505 361.426 997.868
507 326.429 1184.43
508 488.511 338.582
511 422.556 863.325
514 446.213 808.857
516 425.526 991.05
517 382.969 1151.2
518 376.828 1176.71
520 571.818 598.737
522 512.865 850.728
523 512.386 920.363
524 544.754 718.077
525 558.833 693.982
526 455.461 1159.77
527 462.231 1169.59
528 619.364 488.21
529 541.268 898.583
531 483.603 1159.27
532 565.782 915.652
534 593.884 872.036
535 593.884 872.036
536 595.988 879.848
541 656.412 545.123
542 522.039 1195.46
543 531.667 1185.62
544 618.256 922.341
546 626.772 938.564
548 704.044 100.262
550 18.0079 118.939
551 19.5722 565.649
552 19.5722 565.649
553 35.2264 356.163
554 45.8185 627.164
555 49.2615 1248.16
556 56.1293 141.237
557 59.912 76.5507
558 64.0781 527.752
559 70.7456 549.942
560 73.5644 730.432
561 73.7065 363.351
562 83.6257 814.708
563 97.6784 533.052
564 105.213 809.602
565 108.986 219.156
566 115.253 268.562
567 120.946 338.98
568 124.797 208.816
569 130.631 56.6925
570 140.416 70.6279
571 160.385 349.41
572 186.157 1077.55
573 191.828 655.168
574 199.725 1152.38
575 223.519 1257.12
576 233.41 692.609
577 249.746 994.569
578 250.124 389.104
579 250.72 1063.48
580 251.972 1033.33
581 260.31 811.744
582 266.217 383.534
583 266.217 383.534
584 309.249 1031.41
585 316.142 38.4517
586 318.193 1186.43
587 321.731 1241.35
588 321.798 298.862
589 323.448 667.76
590 349.805 668.554
591 353.124 869.937
592 355.092 732.85
593 356.29 1014.15
594 367.678 1135.65
595 373.741 48.2413
596 375.266 730.907
597 395.751 45.9962
598 405.593 992.893
599 406.382 743.484
600 434.312 876.147
601 441.849 579.089
602 442.187 985.356
603 443.378 1168.75
604 454.811 873.156
605 464.311 1159.34
606 491.699 349.355
607 508.951 93.3997
608 512.452 988.102
609 517.148 355.316
610 532.832 916.691
611 537.085 981.984
612 572.782 686.882
613 579.046 1165.47
614 580.888 767.657
615 581.473 995.847
616 593.047 1181.5
617 601.263 996.789
618 612.076 849.68
619 620.697 996.091
